ward,year,specimen_type,organism_clean,antibiotic_canon,n_S,n_I,n_R,n_tested,pct_S,pct_I,pct_R,pct_nonS
ATI,2020,blood,acinetobacter spp.,tobramycin,0,0,7,7,0.0,0.0,1.0,1.0
ATI,2020,blood,acinetobacter spp.,trimethoprim_sulfamethoxazole,2,0,8,10,0.2,0.0,0.8,0.8
ATI,2020,blood,burkholderia cepacia,ceftazidime,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,burkholderia cepacia,chloramphenicol,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,burkholderia cepacia,levofloxacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,burkholderia cepacia,meropenem,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,burkholderia cepacia,ofloxacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,burkholderia cepacia,trimethoprim_sulfamethoxazole,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,amikacin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,amoxicillin,0,0,2,2,0.0,0.0,1.0,1.0
ATI,2020,blood,citrobacter spp.,amoxicillin_clavulanate,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,citrobacter spp.,ampicillin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,citrobacter spp.,ampicillin_sulbactam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,citrobacter spp.,cefepime,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,cefoperazone_sulbactam,2,0,0,2,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,cefotaxime,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,ceftazidime,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,ceftazidime_avibactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,ceftriaxone,2,0,0,2,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,cefuroxime,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,citrobacter spp.,ciprofloxacin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,gentamicin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,meropenem,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,ofloxacin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,piperacillin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,piperacillin_tazobactam,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,citrobacter spp.,tigecycline,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,corynebacterium spp.,ciprofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,clindamycin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,gentamicin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,linezolid,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,corynebacterium spp.,ofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,penicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,rifampicin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,corynebacterium spp.,vancomycin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,enterococcus faecium,amoxicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,amoxicillin_clavulanate,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,ampicillin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,ampicillin_sulbactam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,chloramphenicol,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
ATI,2020,blood,enterococcus faecium,ciprofloxacin,0,0,2,2,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,erythromycin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,gentamicin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,linezolid,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,enterococcus faecium,ofloxacin,0,0,2,2,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,penicillin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,piperacillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,piperacillin_tazobactam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,rifampicin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus faecium,teicoplanin,1,0,1,2,0.5,0.0,0.5,0.5
ATI,2020,blood,enterococcus faecium,vancomycin,1,0,1,2,0.5,0.0,0.5,0.5
ATI,2020,blood,enterococcus spp.,amoxicillin,1,0,4,5,0.2,0.0,0.8,0.8
ATI,2020,blood,enterococcus spp.,amoxicillin_clavulanate,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,ampicillin,1,0,5,6,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334
ATI,2020,blood,enterococcus spp.,ampicillin_sulbactam,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,chloramphenicol,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
ATI,2020,blood,enterococcus spp.,ciprofloxacin,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,clindamycin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,erythromycin,0,1,5,6,0.0,0.16666666666666666,0.8333333333333334,1.0
ATI,2020,blood,enterococcus spp.,gentamicin,3,0,3,6,0.5,0.0,0.5,0.5
ATI,2020,blood,enterococcus spp.,linezolid,6,0,0,6,1.0,0.0,0.0,0.0
ATI,2020,blood,enterococcus spp.,ofloxacin,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,penicillin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,piperacillin,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,piperacillin_tazobactam,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,rifampicin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,enterococcus spp.,teicoplanin,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
ATI,2020,blood,enterococcus spp.,vancomycin,5,0,1,6,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666
ATI,2020,blood,escherichia coli,amikacin,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
ATI,2020,blood,escherichia coli,amoxicillin,1,0,1,2,0.5,0.0,0.5,0.5
ATI,2020,blood,escherichia coli,amoxicillin_clavulanate,3,1,2,6,0.5,0.16666666666666666,0.3333333333333333,0.5
ATI,2020,blood,escherichia coli,ampicillin,2,0,4,6,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
ATI,2020,blood,escherichia coli,cefepime,6,0,0,6,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,cefoperazone_sulbactam,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,cefotaxime,6,0,0,6,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,ceftazidime,6,0,0,6,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,ceftazidime_avibactam,4,0,0,4,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,ceftriaxone,2,0,0,2,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,cefuroxime,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,ciprofloxacin,3,0,2,5,0.6,0.0,0.4,0.4
ATI,2020,blood,escherichia coli,gentamicin,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
ATI,2020,blood,escherichia coli,imipenem_cilastatin,2,0,0,2,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,meropenem,6,0,0,6,1.0,0.0,0.0,0.0
ATI,2020,blood,escherichia coli,ofloxacin,4,0,2,6,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
ATI,2020,blood,escherichia coli,piperacillin,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
ATI,2020,blood,escherichia coli,piperacillin_tazobactam,5,1,0,6,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666
ATI,2020,blood,escherichia coli,tigecycline,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,klebsiella pneumoniae,amikacin,0,1,0,1,0.0,1.0,0.0,1.0
ATI,2020,blood,klebsiella pneumoniae,ampicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,cefepime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,cefotaxime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,ceftazidime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,ceftazidime_avibactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,klebsiella pneumoniae,cefuroxime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,ciprofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,gentamicin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,klebsiella pneumoniae,imipenem_cilastatin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,meropenem,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,ofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,piperacillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,piperacillin_tazobactam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella pneumoniae,tigecycline,0,1,0,1,0.0,1.0,0.0,1.0
ATI,2020,blood,klebsiella spp.,amikacin,18,2,3,23,0.782608695652174,0.08695652173913043,0.13043478260869565,0.21739130434782608
ATI,2020,blood,klebsiella spp.,amoxicillin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella spp.,amoxicillin_clavulanate,4,0,17,21,0.19047619047619047,0.0,0.8095238095238095,0.8095238095238095
ATI,2020,blood,klebsiella spp.,ampicillin,0,0,21,21,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella spp.,ampicillin_sulbactam,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella spp.,cefepime,5,1,11,17,0.29411764705882354,0.058823529411764705,0.6470588235294118,0.7058823529411765
ATI,2020,blood,klebsiella spp.,cefoperazone_sulbactam,5,1,6,12,0.4166666666666667,0.08333333333333333,0.5,0.5833333333333334
ATI,2020,blood,klebsiella spp.,cefotaxime,5,1,17,23,0.21739130434782608,0.043478260869565216,0.7391304347826086,0.782608695652174
ATI,2020,blood,klebsiella spp.,ceftazidime,5,1,17,23,0.21739130434782608,0.043478260869565216,0.7391304347826086,0.782608695652174
ATI,2020,blood,klebsiella spp.,ceftazidime_avibactam,20,0,1,21,0.9523809523809523,0.0,0.047619047619047616,0.047619047619047616
ATI,2020,blood,klebsiella spp.,ceftriaxone,2,0,2,4,0.5,0.0,0.5,0.5
ATI,2020,blood,klebsiella spp.,cefuroxime,1,0,16,17,0.058823529411764705,0.0,0.9411764705882353,0.9411764705882353
ATI,2020,blood,klebsiella spp.,ciprofloxacin,6,0,17,23,0.2608695652173913,0.0,0.7391304347826086,0.7391304347826086
ATI,2020,blood,klebsiella spp.,colistin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,klebsiella spp.,ertapenem,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,klebsiella spp.,gentamicin,13,1,8,22,0.5909090909090909,0.045454545454545456,0.36363636363636365,0.4090909090909091
ATI,2020,blood,klebsiella spp.,imipenem_cilastatin,2,0,5,7,0.2857142857142857,0.0,0.7142857142857143,0.7142857142857143
ATI,2020,blood,klebsiella spp.,meropenem,7,10,6,23,0.30434782608695654,0.43478260869565216,0.2608695652173913,0.6956521739130435
ATI,2020,blood,klebsiella spp.,ofloxacin,6,0,17,23,0.2608695652173913,0.0,0.7391304347826086,0.7391304347826086
ATI,2020,blood,klebsiella spp.,piperacillin,5,2,16,23,0.21739130434782608,0.08695652173913043,0.6956521739130435,0.782608695652174
ATI,2020,blood,klebsiella spp.,piperacillin_tazobactam,5,2,16,23,0.21739130434782608,0.08695652173913043,0.6956521739130435,0.782608695652174
ATI,2020,blood,klebsiella spp.,tigecycline,19,3,1,23,0.8260869565217391,0.13043478260869565,0.043478260869565216,0.17391304347826086
ATI,2020,blood,proteus spp.,amikacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,amoxicillin_clavulanate,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,ampicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,cefepime,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,cefoperazone_sulbactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,cefotaxime,0,1,0,1,0.0,1.0,0.0,1.0
ATI,2020,blood,proteus spp.,ceftazidime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,ceftazidime_avibactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,cefuroxime,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,ciprofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,gentamicin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,meropenem,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,ofloxacin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,proteus spp.,piperacillin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,proteus spp.,piperacillin_tazobactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,providencia stuartii,amikacin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,amoxicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,amoxicillin_clavulanate,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,ampicillin,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,aztreonam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,cefepime,0,1,3,4,0.0,0.25,0.75,1.0
ATI,2020,blood,providencia stuartii,cefoperazone_sulbactam,0,0,2,2,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,cefotaxime,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,ceftazidime,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,ceftazidime_avibactam,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,ceftriaxone,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,cefuroxime,0,0,3,3,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,chloramphenicol,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,ciprofloxacin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,gentamicin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,meropenem,4,0,0,4,1.0,0.0,0.0,0.0
ATI,2020,blood,providencia stuartii,ofloxacin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,piperacillin,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,piperacillin_tazobactam,0,0,4,4,0.0,0.0,1.0,1.0
ATI,2020,blood,providencia stuartii,tigecycline,1,1,0,2,0.5,0.5,0.0,0.5
ATI,2020,blood,pseudomonas aeruginosa,amikacin,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,aztreonam,2,0,6,8,0.25,0.0,0.75,0.75
ATI,2020,blood,pseudomonas aeruginosa,cefepime,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,cefoperazone_sulbactam,7,0,0,7,1.0,0.0,0.0,0.0
ATI,2020,blood,pseudomonas aeruginosa,ceftazidime,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,ceftazidime_avibactam,3,0,1,4,0.75,0.0,0.25,0.25
ATI,2020,blood,pseudomonas aeruginosa,ciprofloxacin,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,colistin,10,0,0,10,1.0,0.0,0.0,0.0
ATI,2020,blood,pseudomonas aeruginosa,gentamicin,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,imipenem_cilastatin,3,0,5,8,0.375,0.0,0.625,0.625
ATI,2020,blood,pseudomonas aeruginosa,levofloxacin,0,0,5,5,0.0,0.0,1.0,1.0
ATI,2020,blood,pseudomonas aeruginosa,meropenem,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,netilmicin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,pseudomonas aeruginosa,ofloxacin,6,0,6,12,0.5,0.0,0.5,0.5
ATI,2020,blood,pseudomonas aeruginosa,piperacillin,8,4,0,12,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
ATI,2020,blood,pseudomonas aeruginosa,piperacillin_tazobactam,8,4,0,12,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
ATI,2020,blood,pseudomonas aeruginosa,tobramycin,3,0,6,9,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
ATI,2020,blood,serratia marcescens,amikacin,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,amoxicillin,0,0,1,1,0.0,0.0,1.0,1.0
ATI,2020,blood,serratia marcescens,amoxicillin_clavulanate,2,1,2,5,0.4,0.2,0.4,0.6
ATI,2020,blood,serratia marcescens,ampicillin,1,0,4,5,0.2,0.0,0.8,0.8
ATI,2020,blood,serratia marcescens,cefepime,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,cefoperazone_sulbactam,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,cefotaxime,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,ceftazidime,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,ceftazidime_avibactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,ceftriaxone,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,cefuroxime,1,0,3,4,0.25,0.0,0.75,0.75
ATI,2020,blood,serratia marcescens,ciprofloxacin,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,gentamicin,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,imipenem_cilastatin,3,0,0,3,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,meropenem,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,ofloxacin,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,piperacillin,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,piperacillin_tazobactam,5,0,0,5,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia marcescens,tigecycline,1,0,1,2,0.5,0.0,0.5,0.5
ATI,2020,blood,serratia spp.,amikacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,cefepime,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,cefoperazone_sulbactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,cefotaxime,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,ceftazidime,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,ceftriaxone,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,ciprofloxacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,gentamicin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,meropenem,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,netilmicin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,ofloxacin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,piperacillin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,piperacillin_tazobactam,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,tigecycline,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,tobramycin,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,serratia spp.,trimethoprim_sulfamethoxazole,1,0,0,1,1.0,0.0,0.0,0.0
ATI,2020,blood,stafilococ coagulazo negativ,amoxicillin,0,0,14,14,0.0,0.0,1.0,1.0
ATI,2020,blood,stafilococ coagulazo negativ,amoxicillin_clavulanate,16,0,53,69,0.2318840579710145,0.0,0.7681159420289855,0.7681159420289855
ATI,2020,blood,stafilococ coagulazo negativ,ampicillin,10,0,37,47,0.2127659574468085,0.0,0.7872340425531915,0.7872340425531915
