file,sheet,ward,year,half,period_start,period_end,header_text,specimen_raw,organism_raw,n_antibiograme_header,issue
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Ciprofloxacin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Ciprofloxacin,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Doxiciclina (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Doxiciclina,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Gentamicin (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Gentamicin,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Imipenem (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Imipenem,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Meropenem (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Meropenem,1,organism_missing_or_is_antibiotic
ATI_2023_H2.xlsx,Sheet1,ATI,2023,H2,,,Lichid Peritoneal Culturi Aerobe Cu Antibiograma - Sulfamethoxazole / Trimethoprim (1 antibiograma),Lichid Peritoneal Culturi Aerobe Cu Antibiograma,Sulfamethoxazole / Trimethoprim,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Amikacin (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Amikacin,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Ceftazidime-Avibactam (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Ceftazidime-Avibactam,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Ciprofloxacin (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Ciprofloxacin,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Gentamicin (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Gentamicin,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Imipenem (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Imipenem,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Meropenem (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Meropenem,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Piperacilin/Tazobactam (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Piperacilin/Tazobactam,1,organism_missing_or_is_antibiotic
ATI_2025_H1.xlsx,Sheet1,ATI,2025,H1,,,Hemocultura Aeroba / Anaeroba Culturi - Tobramycin (1 antibiograma),Hemocultura Aeroba / Anaeroba Culturi,Tobramycin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Amikacin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Amikacin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Ampicillin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Ampicillin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Cefiderocol (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Cefiderocol,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Ceftazidime-Avibactam (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Ceftazidime-Avibactam,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Ceftriaxone (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Ceftriaxone,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Cefuroxime (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Cefuroxime,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Ciprofloxacin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Ciprofloxacin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Clindamycin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Clindamycin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Doxiciclina (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Doxiciclina,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Imipenem (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Imipenem,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Linezolid (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Linezolid,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Meropenem (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Meropenem,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Piperacilin/Tazobactam (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Piperacilin/Tazobactam,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Rifampicin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Rifampicin,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Tigeciclina (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Tigeciclina,1,organism_missing_or_is_antibiotic
ATI_2025_H2.xlsx,Sheet1,ATI,2025,H2,,,Secretie Plaga Culturi Aerobe Cu Antibiograma - Vancomycin (1 antibiograma),Secretie Plaga Culturi Aerobe Cu Antibiograma,Vancomycin,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Amikacin (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Amikacin,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Cefepime (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Cefepime,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Cefotaxime (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Cefotaxime,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Gentamicin (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Gentamicin,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Imipenem (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Imipenem,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Levofloxacin (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Levofloxacin,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Meropenem (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Meropenem,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Piperacilin/Tazobactam (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Piperacilin/Tazobactam,1,organism_missing_or_is_antibiotic
MI_2024_H2.xlsx,Sheet1,MI,2024,H2,,,Col Uterin Culturi Aerobe Cu Antibiograma - Sulfamethoxazole / Trimethoprim (1 antibiograma),Col Uterin Culturi Aerobe Cu Antibiograma,Sulfamethoxazole / Trimethoprim,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Amikacin (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Amikacin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Cefepime (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Cefepime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Ceftazidime (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Ceftazidime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Ceftazidime-Avibactam (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Ceftazidime-Avibactam,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Ceftriaxone (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Ceftriaxone,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Cefuroxime (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Cefuroxime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Ciprofloxacin (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Ciprofloxacin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Gentamicin (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Gentamicin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Imipenem (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Imipenem,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Meropenem (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Meropenem,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Piperacilin/Tazobactam (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Piperacilin/Tazobactam,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Colectie Purulenta Culturi Aerobe Cu Antibiograma - Sulfamethoxazole / Trimethoprim (1 antibiograma),Colectie Purulenta Culturi Aerobe Cu Antibiograma,Sulfamethoxazole / Trimethoprim,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Amikacin (1 antibiograma),Urocultura,Amikacin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Amoxicillin / Ac. Clavulanic (1 antibiograma),Urocultura,Amoxicillin / Ac. Clavulanic,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Anidulafungin (1 antibiograma),Urocultura,Anidulafungin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Caspofungin (1 antibiograma),Urocultura,Caspofungin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Cefepime (1 antibiograma),Urocultura,Cefepime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Cefotaxime (1 antibiograma),Urocultura,Cefotaxime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Ceftazidime (1 antibiograma),Urocultura,Ceftazidime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Cefuroxime (1 antibiograma),Urocultura,Cefuroxime,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Ciprofloxacin (1 antibiograma),Urocultura,Ciprofloxacin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Fluconazol (1 antibiograma),Urocultura,Fluconazol,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Gentamicin (1 antibiograma),Urocultura,Gentamicin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Imipenem (1 antibiograma),Urocultura,Imipenem,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Itraconazol (1 antibiograma),Urocultura,Itraconazol,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Meropenem (1 antibiograma),Urocultura,Meropenem,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Micafungin (1 antibiograma),Urocultura,Micafungin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Nitrofurantoin (1 antibiograma),Urocultura,Nitrofurantoin,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Piperacilin/Tazobactam (1 antibiograma),Urocultura,Piperacilin/Tazobactam,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Posaconazol (1 antibiograma),Urocultura,Posaconazol,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Sulfamethoxazole / Trimethoprim (1 antibiograma),Urocultura,Sulfamethoxazole / Trimethoprim,1,organism_missing_or_is_antibiotic
MI_2025_H2.xlsx,Sheet1,MI,2025,H2,,,Urocultura - Voriconazol (1 antibiograma),Urocultura,Voriconazol,1,organism_missing_or_is_antibiotic
